id,name
1,Фрукты
2,Ягоды
3,"Экзотические фрукты, ягоды и плоды"
4,Кокос и продукты из кокоса
5,Сухофрукты
6,"Соки, нектары, морсы"
7,Овощи (клубнеплоды)
8,"Овощи (корнеплоды, коренья)"
9,Овощи (луковичные)
10,Овощи (паслёновые)
11,Овощи (бахчевые)
12,Овощи (бобовые)
13,Овощи (бобовые — соя и соевые продукты)
14,Овощи (капустные)
15,Овощи (салатные)
16,Овощи (разные)
17,"Зелень, травы, листья, пряные овощи"
18,Семена
19,Специи
20,Проростки
21,Грибы
22,Крупы и злаки (в сухом виде)
23,Крупы и злаки (приготовленные)
24,Крупы и злаки (рис)
25,"Мука, отруби, крахмал"
26,Орехи
27,"Хлеб, лепёшки и др."
28,"Кондитерские изделия, печенье, сладости"
29,Сахар и заменители
30,Шоколад
31,Лапша
32,Яйца и яичные продукты
33,Сыры
34,Молоко и молочные продукты (кроме сыров)
35,Животные жиры
36,Масла
37,Безалкогольные напитки
38,Алкогольные напитки
39,Уксус
40,Соусы
41,Фастфуд
42,Высокобелковые продукты
43,Рыба (сырая)
44,Рыба (приготовленная)
45,Моллюски
46,"Раки, крабы, креветки"
47,Морские водоросли
48,Другие морепродукты
49,Свинина (сырая)
50,Свинина (приготовленная)
51,Свиные субпродукты (сырые)
52,Свиные субпродукты (приготовленные)
53,Говядина (сырая)
54,Говядина (приготовленная)
55,Говяжьи субпродукты (сырые)
56,Говяжьи субпродукты (приготовленные)
57,Курица (сырая)
58,Курица (приготовленная)
59,Куриные субпродукты (сырые)
60,Куриные субпродукты (приготовленные)
61,Индейка (сырая)
62,Индейка (приготовленная)
63,Мясо другое (сырое)
64,Мясо другое (приготовленное)
65,Мясные продукты
66,Другое
