name,category_id,photo,description
Абрикос (свежий),1,products/абрикос_(свежий),
Абрикосы (консервированные),1,products/абрикосы_(консервированные),
Айва (свежая),1,products/айва_(свежая),
Апельсины (свежие),1,products/апельсины_(свежие),
Арбуз (свежий),1,products/арбуз_(свежий),
Бананы (свежие),1,products/бананы_(свежие),
Гранат (свежий),1,products/гранат_(свежий),
Грейпфрут (свежий),1,products/грейпфрут_(свежий),
Груша (консервированная),1,products/груша_(консервированная),
Груша (свежая),1,products/груша_(свежая),
Груша Конференция (свежая),1,products/груша_конференция_(свежая),
Дыня (свежая),1,products/дыня_(свежая),
Дыня Канталупа (свежая),1,products/дыня_канталупа_(свежая),
Инжир (свежий),1,products/инжир_(свежий),
Киви (свежий),1,products/киви_(свежий),
Лайм (свежий),1,products/лайм_(свежий),
"Лимон (свежий, без кожуры)",1,"products/лимон_(свежий,_без_кожуры)",
Мандарины (свежие),1,products/мандарины_(свежие),
Маслины (консервированные),1,products/маслины_(консервированные),
Нектарины (свежие),1,products/нектарины_(свежие),
Оливки зелёные (консервированные),1,products/оливки_зелёные_(консервированные),
"Персик (свежие, без косточек)",1,"products/персик_(свежие,_без_косточек)",
Персики консервированные,1,products/персики_консервированные,
Слива (свежая),1,products/слива_(свежая),
Хурма (свежая),1,products/хурма_(свежая),
Цедра апельсина (кожура) (свежая),1,products/цедра_апельсина_(кожура)_(свежая),
Цедра лимона (кожура) (свежая),1,products/цедра_лимона_(кожура)_(свежая),
Яблоки (свежие),1,products/яблоки_(свежие),
Яблоки (запечённые),1,products/яблоки_(запечённые),
Яблоки Голден (свежие),1,products/яблоки_голден_(свежие),
Яблоки зелёные (Гренни Смит) (свежие),1,products/яблоки_зелёные_(гренни_смит)_(свежие),
Яблоки красные (свежие),1,products/яблоки_красные_(свежие),
Яблочное варенье (консервированное),1,products/яблочное_варенье_(консервированное),
Бузина (свежая),2,products/бузина_(свежая),
Виноград (красный или зелёный) (свежий),2,products/виноград_(красный_или_зелёный)_(свежий),
Виноград (мускатные сорта) (свежий),2,products/виноград_(мускатные_сорта)_(свежий),
Вишня (замороженная),2,products/вишня_(замороженная),
Вишня (свежая),2,products/вишня_(свежая),
Голубика (замороженная),2,products/голубика_(замороженная),
Голубика (свежая),2,products/голубика_(свежая),
Ежевика (замороженная),2,products/ежевика_(замороженная),
Ежевика (свежая),2,products/ежевика_(свежая),
Клубника (замороженная),2,products/клубника_(замороженная),
Клубника (свежая),2,products/клубника_(свежая),
Клюква (свежая),2,products/клюква_(свежая),
Коктейльная вишня (консервированная),2,products/коктейльная_вишня_(консервированная),
Крыжовник (свежий),2,products/крыжовник_(свежий),
Малина (свежая),2,products/малина_(свежая),
Смородина красная или белая (свежая),2,products/смородина_красная_или_белая_(свежая),
Смородина чёрная (свежая),2,products/смородина_чёрная_(свежая),
Ягоды годжи (сушёные),2,products/ягоды_годжи_(сушёные),
Авокадо (свежее),3,products/авокадо_(свежее),
Ананас (свежий),3,products/ананас_(свежий),
Ананасы (консервированные),3,products/ананасы_(консервированные),
Антильский абрикос (свежий),3,products/антильский_абрикос_(свежий),
Барбадосская вишня (свежая),3,products/барбадосская_вишня_(свежая),
Белый или жёлтый грейпфрут (свежий),3,products/белый_или_жёлтый_грейпфрут_(свежий),
Гуава (свежая),3,products/гуава_(свежая),
Джамболан (свежий),3,products/джамболан_(свежий),
Джекфрут (свежий),3,products/джекфрут_(свежий),
Дуриан (свежий),3,products/дуриан_(свежий),
Кивано (свежая),3,products/кивано_(свежая),
Клементин (свежий),3,products/клементин_(свежий),
Кумкват (свежий),3,products/кумкват_(свежий),
Личи (свежие),3,products/личи_(свежие),
Логанова ягода (замороженная),3,products/логанова_ягода_(замороженная),
Лонган (свежий),3,products/лонган_(свежий),
Манго (сушёное),3,products/манго_(сушёное),
Манго (свежее),3,products/манго_(свежее),
Мангостин (консервированный),3,products/мангостин_(консервированный),
Маракуйя (свежая),3,products/маракуйя_(свежая),
Мушмула (свежая),3,products/мушмула_(свежая),
