city,street,house,building,floor
с. Хатанга,пр. Стахановский,44,44,18
ст. Углич,ул. Полевая,21,,
клх Орск,бул. Ручейный,18,,
с. Ульяновск,пр. Поселковый,89,,
с. Александров,пер. Полярный,76,,
ст. Петухово,ш. Ломоносова,63,,
п. Чермоз,бул. Максима Горького,71,,
г. Чита,бул. Транспортный,56,,
г. Таганрог,ул. Громова,61,,
ст. Железногорск(Курск.),наб. Заводская,21,,
к. Горно-Алтайск,ул. О.Кошевого,3,,
к. Находка,алл. Высоковольтная,4,,
с. Якутск,алл. Проезжая,27,,
клх Аргаяш,алл. 60 лет Октября,95,,
п. Колпашево,алл. Серова,93,,
с. Карталы,бул. Мостовой,2,,
клх Чикола,алл. Гончарова,29,,
с. Агинское (Забайк.),ш. Ореховое,54,,
ст. Ухта,алл. Дачная,96,,
с. Саров (Морд.),ул. Рабочая,94,,
с. Рославль,пр. Маркса Карла,42,,12
с. Агата,пер. Центральный,86,,
п. Зарайск,бул. Новый,79,,
ст. Кингисепп,бул. Братский,1,,
к. Хужир,пр. Макаренко,34,,
ст. Йошкар-Ола,ул. Ярославская,21,,
клх Сыктывкар,бул. 60 лет Октября,45,,
г. Чулым,пр. Свободный,18,,
д. Шадринск,наб. Таежная,56,,
с. Сухиничи,наб. Демьяна Бедного,77,,
п. Ржев,ул. Пугачева,57,,
г. Дудинка,наб. Верхняя,33,,
п. Ржев,пер. Тополиный,99,,
с. Новосибирск,ш. Выгонное,4,,
клх Тимашевск,бул. Мирный,42,,
д. Серов,алл. Боровая,41,36,
п. Богучар,наб. Ленская,1,,
г. Тобольск,ш. Невского,72,,
с. Верещагино (Перм.),ул. Инженерная,12,,
д. Люберцы,бул. Пролетарский,45,,
г. Таштагол,наб. Прудная,52,,9
ст. Новороссийка,наб. Мира,11,,
с. Сладково,ш. Фадеева,93,,
п. Клин,ш. Карла Либкнехта,21,,
г. Лабинск,наб. Городская,36,,
г. Белореченск,наб. 40 лет Победы,80,,
клх Красноселькуп,наб. Песчаная,22,,
к. Вилюйск,ул. Сосновая,7,,
ст. Кингисепп,пр. Уральский,64,,
ст. Петрозаводск,бул. Громова,1,,
к. Челюскин,наб. Красная,45,,
п. Магас,ш. Лесхозное,50,,
с. Геленджик,пр. Репина,21,,
ст. Уфа,бул. Труда,24,,
ст. Солнечногорск,бул. Мусы Джалиля,98,,
п. Лазаревское,пер. Интернациональный,38,,
ст. Кущевская,бул. Сельский,97,,
д. Мончегорск,пр. Гоголя,85,,
к. Бронницы,наб. Ставропольская,63,,
г. Оймякон,ул. Техническая,17,,
п. Иваново,ул. Ивановская,73,,14
к. Ачинск,алл. Тополиная,23,,
д. Калуга,ш. Высотное,9,,
клх Мценск,наб. Жукова,43,,
к. Иваново,ш. Кедровое,84,,
с. Яхрома,бул. Терешковой,49,,
п. Жуковский,ул. Братская,10,,
с. Верхнее Пенжино,пер. Просвещения,24,,
ст. Екатеринбург,наб. Фестивальная,76,,
ст. Усть-Катав,ул. Торговая,80,,
ст. Йошкар-Ола,ш. Бульварное,66,73,
ст. Мценск,наб. Огородная,93,,
к. Хасавюрт,пер. Горняцкий,47,,
с. Чикола,пер. Пригородный,67,,
г. Ардон,ш. 50 лет Победы,8,,
с. Вологда,пр. Подлесный,71,,
г. Березники,алл. Троицкая,34,,
ст. Нарткала,пр. Звездный,24,,
ст. Алагир,пр. Пушкина,27,,
клх Ростов,бул. З.Космодемьянской,83,,
клх Карабулак,алл. Севастопольская,33,,3
г. Эльтон,бул. Ушакова,45,,
ст. Махачкала,алл. Кошевого,19,,
ст. Шатой,бул. Дзержинского,45,,
п. Шатки,бул. Минина,36,,
д. Губкинский,алл. Маркса,53,,
с. Ессентуки,пр. Волжский,51,,
клх Шерегеш,ш. Московское,82,,
п. Моздок,алл. Союзная,93,,
клх Билибино,ш. Революции,81,,
с. Коломна,наб. Владимирская,58,,
д. Санкт-Петербург,наб. Коллективная,5,,
с. Кингисепп,бул. Высокий,24,,
п. Курильск,наб. Никитина,91,,
д. Норильск,алл. Кленовая,56,,
г. Кош-Агач,пр. Коллективный,26,,
к. Урай,ш. Краснознаменное,42,,
п. Чехов,наб. Челюскинцев,19,,
г. Ступино,пер. Космонавтов,29,,
г. Магадан,пер. Специалистов,57,,
